pair,layer,r2
atomic mass - period,46,0.495347229707083
atomic mass - period,47,0.4964522085512046
atomic mass - period,48,0.447177792206564
atomic mass - period,49,0.47705202256580675
atomic mass - period,50,0.41789396867814127
atomic mass - period,51,0.49480383333333533
atomic mass - period,52,0.5105735704072101
atomic mass - period,53,0.4258581192673564
atomic mass - period,54,0.3911216235351385
atomic mass - period,55,0.3907752594863507
atomic mass - period,56,0.36211286537852205
atomic mass - period,57,0.3902273509965914
atomic mass - period,58,0.3927012771857341
atomic mass - period,59,0.4323940969660591
atomic mass - period,60,0.4318047221480459
atomic mass - period,61,0.4002729629064337
atomic mass - period,62,0.4121755479865792
atomic mass - period,63,0.3050833183282813
atomic mass - period,64,0.37823855616378255
atomic mass - period,65,0.3765415429930321
atomic mass - period,66,0.30267633418295564
atomic mass - period,67,0.3048355345467796
atomic mass - period,68,0.23337532980151426
atomic mass - period,69,0.09352031780528651
atomic mass - period,70,0.11747098902968836
atomic mass - period,71,-0.06365765316856609
atomic mass - period,72,-0.3054019548069209
atomic mass - period,73,-0.1138036751463716
atomic mass - period,74,-0.018097596693627437
atomic mass - period,75,-0.14067855064973828
atomic mass - period,76,-0.28096592034349593
atomic mass - period,77,-0.3795243850243482
atomic mass - period,78,-0.4529443933966307
atomic mass - period,79,-0.520064377678473
atomic number - electronegativity,1,-2.7423048574035285
atomic number - electronegativity,2,-3.0306510514329696
atomic number - electronegativity,3,-2.55707306881239
atomic number - electronegativity,4,-2.7003797789337263
atomic number - electronegativity,5,-3.1351883165176186
atomic number - electronegativity,6,-3.718497811018376
atomic number - electronegativity,7,-3.327967858922495
atomic number - electronegativity,8,-2.8496767279980544
atomic number - electronegativity,9,-2.658536903223306
atomic number - electronegativity,10,-2.7116540644322007
atomic number - electronegativity,11,-3.453546334103477
atomic number - electronegativity,12,-2.5972721704090285
atomic number - electronegativity,13,-1.7935067954317088
atomic number - electronegativity,14,-1.8692686326979857
atomic number - electronegativity,15,-1.5707510283749258
atomic number - electronegativity,16,-2.9828637669963487
atomic number - electronegativity,17,-2.407770778589657
atomic number - electronegativity,18,-3.0744324864461277
atomic number - electronegativity,19,-2.926711157648264
atomic number - electronegativity,20,-2.501019484804588
atomic number - electronegativity,21,-2.598860015321237
atomic number - electronegativity,22,-1.9098545087645882
atomic number - electronegativity,23,-2.4020949246256817
atomic number - electronegativity,24,-2.132394168810822
atomic number - electronegativity,25,-1.832483848248728
atomic number - electronegativity,26,-1.7634773286344116
atomic number - electronegativity,27,-2.14416352194462
atomic number - electronegativity,28,-2.3235408828801205
atomic number - electronegativity,29,-1.9915867158920424
atomic number - electronegativity,30,-0.5548598519212256
atomic number - electronegativity,31,-0.634868213092612
atomic number - electronegativity,32,-0.7952269640608168
atomic number - electronegativity,33,-1.546784806020507
atomic number - electronegativity,34,-0.5790967138957597
atomic number - electronegativity,35,-0.9346105488444231
atomic number - electronegativity,36,-0.8243786287748648
atomic number - electronegativity,37,-0.6440814923215272
atomic number - electronegativity,38,-0.30000186328133555
atomic number - electronegativity,39,0.14677406204820143
atomic number - electronegativity,40,-0.1839939014709185
atomic number - electronegativity,41,-0.06798844033419359
atomic number - electronegativity,42,0.07281238577066927
atomic number - electronegativity,43,0.06457676352711206
atomic number - electronegativity,44,-0.24785274696055676
atomic number - electronegativity,45,-0.18309169375286616
atomic number - electronegativity,46,-0.15051978756491832
atomic number - electronegativity,47,-0.17778052592860713
atomic number - electronegativity,48,-0.20355349374124296
atomic number - electronegativity,49,-0.07407828841576494
atomic number - electronegativity,50,-0.08972508047182577
atomic number - electronegativity,51,-0.08801222873276533
atomic number - electronegativity,52,-0.03513519889871588
atomic number - electronegativity,53,-0.1180294180768264
atomic number - electronegativity,54,-0.07058250658877904
atomic number - electronegativity,55,-0.04761842335604175
atomic number - electronegativity,56,-0.038758246528283316
atomic number - electronegativity,57,0.012718325430698396
atomic number - electronegativity,58,0.011489434128614463
atomic number - electronegativity,59,-0.04662326904620603
atomic number - electronegativity,60,-0.14317192368630244
atomic number - electronegativity,61,-0.0618286915593985
atomic number - electronegativity,62,-0.11805887257907943
atomic number - electronegativity,63,-0.2088678145861988
atomic number - electronegativity,64,-0.18049654136427642
atomic number - electronegativity,65,-0.34213350442751767
atomic number - electronegativity,66,-0.3067780702639948
atomic number - electronegativity,67,-0.2898591537972015
atomic number - electronegativity,68,-0.3619436850187875
atomic number - electronegativity,69,-0.3910722317357256
atomic number - electronegativity,70,-0.4442340747743983
atomic number - electronegativity,71,-0.604157884143705
atomic number - electronegativity,72,-0.7352321095088761
atomic number - electronegativity,73,-1.2658345958906196
atomic number - electronegativity,74,-1.2343994884280842
atomic number - electronegativity,75,-0.9710660728809213
atomic number - electronegativity,76,-0.895470540068102
atomic number - electronegativity,77,-1.1182939698110714
atomic number - electronegativity,78,-1.309331791594575
atomic number - electronegativity,79,-1.2860825892812446
atomic mass - electronegativity,1,-2.3040265792915813
atomic mass - electronegativity,2,-3.2607737085086845
atomic mass - electronegativity,3,-3.115427093509881
atomic mass - electronegativity,4,-3.638971940206184
atomic mass - electronegativity,5,-3.6678940830330875
atomic mass - electronegativity,6,-3.665007892326546
atomic mass - electronegativity,7,-3.9499784791592334
atomic mass - electronegativity,8,-2.8739768756959285
atomic mass - electronegativity,9,-2.6111466461460386
atomic mass - electronegativity,10,-2.7080148618521322
atomic mass - electronegativity,11,-2.718942557942609
atomic mass - electronegativity,12,-2.2792596864290173
atomic mass - electronegativity,13,-1.6962334154769638
atomic mass - electronegativity,14,-2.5214673388149658
atomic mass - electronegativity,15,-2.110770838965177
atomic mass - electronegativity,16,-2.596801129856416
atomic mass - electronegativity,17,-1.6662250508968939
atomic mass - electronegativity,18,-1.5752222713688777
atomic mass - electronegativity,19,-2.5541876742543095
atomic mass - electronegativity,20,-2.198724755570132
atomic mass - electronegativity,21,-1.6851414441748684
