entity_type,layer,silhouette_functional_group,silhouette_carbon_count
hbd,23,-0.10610288381576538,-0.006837012246251106
hbd,24,-0.07794250547885895,-0.006701182574033737
hbd,25,-0.11764314770698547,-0.0064530582167208195
hbd,26,-0.12504802644252777,-0.006747081410139799
hbd,27,-0.10687614977359772,-0.00666889688000083
hbd,28,-0.11513703316450119,-0.006823958829045296
hbd,29,-0.08745583891868591,-0.006504958961158991
hbd,30,-0.08083789795637131,-0.005396569613367319
hbd,31,-0.0605914480984211,-0.0055827973410487175
hbd,32,-0.05207407474517822,-0.005841767881065607
hba,1,-0.09039375185966492,-0.013298258185386658
hba,2,-0.058619748800992966,-0.008089559152722359
hba,3,-0.046133480966091156,-0.008154496550559998
hba,4,-0.0483858659863472,-0.00697681400924921
hba,5,-0.04919036105275154,-0.006737247575074434
hba,6,-0.03773939982056618,-0.00692147808149457
hba,7,-0.06228768825531006,-0.007096845656633377
hba,8,-0.04961610585451126,-0.006846602540463209
hba,9,-0.04897917062044144,-0.006199992261826992
hba,10,-0.03836074471473694,-0.0058843581937253475
hba,11,-0.055340394377708435,-0.006687621586024761
hba,12,-0.043703608214855194,-0.0055857254192233086
hba,13,-0.06390706449747086,-0.005572204943746328
hba,14,-0.040571775287389755,-0.0050750188529491425
hba,15,-0.03616703674197197,-0.004841198213398457
hba,16,-0.03869829699397087,-0.005277456250041723
hba,17,-0.043421462178230286,-0.004786699544638395
hba,18,-0.06512341648340225,-0.005545223131775856
hba,19,-0.07085221260786057,-0.005490700714290142
hba,20,-0.10405965149402618,-0.004923716653138399
hba,21,-0.11145374178886414,-0.006258256733417511
hba,22,-0.1088646799325943,-0.007387425750494003
hba,23,-0.06943755596876144,-0.0073241363279521465
hba,24,-0.05740147456526756,-0.00809523370116949
hba,25,-0.0741247683763504,-0.00805425550788641
hba,26,-0.07308690994977951,-0.009628239087760448
hba,27,-0.06367530673742294,-0.009180909022688866
hba,28,-0.07706483453512192,-0.00950161088258028
hba,29,-0.10737915337085724,-0.00920786615461111
hba,30,-0.13041913509368896,-0.006471596658229828
hba,31,-0.06680607050657272,-0.0065045347437262535
hba,32,-0.0640525072813034,-0.008524982258677483
boiling_point_c,1,-0.07123680412769318,-0.008017447777092457
boiling_point_c,2,-0.054120954126119614,-0.010065422393381596
boiling_point_c,3,-0.042024001479148865,-0.007442253176122904
boiling_point_c,4,-0.054445523768663406,-0.008452942594885826
boiling_point_c,5,-0.04268589988350868,-0.006186059210449457
boiling_point_c,6,-0.04929855838418007,-0.006304509472101927
boiling_point_c,7,-0.05181998014450073,-0.007234866265207529
boiling_point_c,8,-0.036821398884058,-0.005740632303059101
boiling_point_c,9,-0.05592939630150795,-0.00686069717630744
boiling_point_c,10,-0.06163798272609711,-0.0074852341786026955
boiling_point_c,11,-0.0563715398311615,-0.0091556366533041
boiling_point_c,12,-0.0741075724363327,-0.009564273059368134
boiling_point_c,13,-0.06311090290546417,-0.010471029207110405
boiling_point_c,14,-0.0750945657491684,-0.012894849292933941
boiling_point_c,15,-0.10677517205476761,-0.014216075651347637
boiling_point_c,16,-0.07306979596614838,-0.012418276630342007
boiling_point_c,17,0.26733022928237915,-0.012169020250439644
boiling_point_c,18,0.22980926930904388,-0.01770484820008278
boiling_point_c,19,0.22378487884998322,-0.0272736344486475
boiling_point_c,20,0.1490442454814911,-0.027446087449789047
boiling_point_c,21,0.1595052033662796,-0.02881089225411415
boiling_point_c,22,0.1429707258939743,-0.02460676245391369
boiling_point_c,23,0.04875889793038368,-0.023003822192549706
boiling_point_c,24,0.03895076736807823,-0.024032600224018097
boiling_point_c,25,0.03599892184138298,-0.02712443098425865
boiling_point_c,26,0.02811039797961712,-0.025051409378647804
boiling_point_c,27,0.021003050729632378,-0.024434005841612816
boiling_point_c,28,0.010414828546345234,-0.028668532148003578
boiling_point_c,29,0.10752370953559875,-0.02954595908522606
boiling_point_c,30,0.10503643751144409,-0.035404983907938004
boiling_point_c,31,0.039541322737932205,-0.03148473799228668
boiling_point_c,32,-0.15885572135448456,-0.07401442527770996
water_solubility,1,-0.102489173412323,-0.02150115929543972
water_solubility,2,-0.050949469208717346,-0.006510305218398571
water_solubility,3,-0.035493552684783936,-0.007150810677558184
water_solubility,4,-0.04769747704267502,-0.007747969124466181
water_solubility,5,-0.05260574817657471,-0.007046673912554979
water_solubility,6,-0.05822889879345894,-0.008153587579727173
water_solubility,7,-0.04504022002220154,-0.006606990471482277
water_solubility,8,-0.03977070748806,-0.005602200981229544
water_solubility,9,-0.052976179867982864,-0.00851959828287363
water_solubility,10,-0.050251077860593796,-0.007188117131590843
water_solubility,11,-0.03657054156064987,-0.005280818324536085
water_solubility,12,-0.0650489553809166,-0.00872999057173729
water_solubility,13,-0.041581716388463974,-0.005929872393608093
water_solubility,14,-0.06445865333080292,-0.00881148874759674
water_solubility,15,-0.037687692791223526,-0.005261152517050505
water_solubility,16,-0.04087994620203972,-0.006173028144985437
water_solubility,17,-0.039434246718883514,-0.005803080275654793
water_solubility,18,-0.04440252110362053,-0.006976948119699955
water_solubility,19,-0.03873186931014061,-0.005799830425530672
water_solubility,20,-0.06249653920531273,-0.007302376441657543
water_solubility,21,-0.039851076900959015,-0.006158597767353058
water_solubility,22,-0.06660933047533035,-0.007737389765679836
water_solubility,23,-0.06025075539946556,-0.006252460181713104
water_solubility,24,-0.04503416642546654,-0.008713694289326668
water_solubility,25,-0.057344209402799606,-0.008677111007273197
water_solubility,26,-0.040677305310964584,-0.008153923787176609
water_solubility,27,-0.04263225197792053,-0.00773828849196434
water_solubility,28,-0.05024952441453934,-0.008302995935082436
water_solubility,29,-0.04590679705142975,-0.008051497861742973
water_solubility,30,-0.03523941710591316,-0.007112856954336166
water_solubility,31,-0.032942816615104675,-0.006242409814149141
water_solubility,32,-0.06025759503245354,-0.00846195314079523
